n                 time=
100               1.10000000e-05
log10 relerr      log10 IerrSQ
-3.07939836e+00   -6.85055986e+00
x                 u_calc
0.00000000e+00    0.00000000e+00
1.00000000e-02    8.50921022e-02
2.00000000e-02    1.61135830e-01
3.00000000e-02    2.28992251e-01
4.00000000e-02    2.89440489e-01
5.00000000e-02    3.43185527e-01
6.00000000e-02    3.90865258e-01
7.00000000e-02    4.33056873e-01
8.00000000e-02    4.70282635e-01
9.00000000e-02    5.03015107e-01
1.00000000e-01    5.31681883e-01
1.10000000e-01    5.56669864e-01
1.20000000e-01    5.78329134e-01
1.30000000e-01    5.96976463e-01
1.40000000e-01    6.12898473e-01
1.50000000e-01    6.26354514e-01
1.60000000e-01    6.37579253e-01
1.70000000e-01    6.46785027e-01
1.80000000e-01    6.54163965e-01
1.90000000e-01    6.59889915e-01
2.00000000e-01    6.64120179e-01
2.10000000e-01    6.66997090e-01
2.20000000e-01    6.68649436e-01
2.30000000e-01    6.69193751e-01
2.40000000e-01    6.68735477e-01
2.50000000e-01    6.67370024e-01
2.60000000e-01    6.65183721e-01
2.70000000e-01    6.62254682e-01
2.80000000e-01    6.58653588e-01
2.90000000e-01    6.54444394e-01
3.00000000e-01    6.49684967e-01
3.10000000e-01    6.44427669e-01
3.20000000e-01    6.38719880e-01
3.30000000e-01    6.32604468e-01
3.40000000e-01    6.26120225e-01
3.50000000e-01    6.19302249e-01
3.60000000e-01    6.12182300e-01
3.70000000e-01    6.04789113e-01
3.80000000e-01    5.97148690e-01
3.90000000e-01    5.89284560e-01
4.00000000e-01    5.81218011e-01
4.10000000e-01    5.72968306e-01
4.20000000e-01    5.64552874e-01
4.30000000e-01    5.55987486e-01
4.40000000e-01    5.47286412e-01
4.50000000e-01    5.38462565e-01
4.60000000e-01    5.29527628e-01
4.70000000e-01    5.20492173e-01
4.80000000e-01    5.11365765e-01
4.90000000e-01    5.02157059e-01
5.00000000e-01    4.92873888e-01
5.10000000e-01    4.83523337e-01
5.20000000e-01    4.74111819e-01
5.30000000e-01    4.64645135e-01
5.40000000e-01    4.55128535e-01
5.50000000e-01    4.45566769e-01
5.60000000e-01    4.35964136e-01
5.70000000e-01    4.26324524e-01
5.80000000e-01    4.16651452e-01
5.90000000e-01    4.06948105e-01
6.00000000e-01    3.97217363e-01
6.10000000e-01    3.87461834e-01
6.20000000e-01    3.77683876e-01
6.30000000e-01    3.67885624e-01
6.40000000e-01    3.58069008e-01
6.50000000e-01    3.48235778e-01
6.60000000e-01    3.38387512e-01
6.70000000e-01    3.28525643e-01
6.80000000e-01    3.18651465e-01
6.90000000e-01    3.08766150e-01
7.00000000e-01    2.98870756e-01
7.10000000e-01    2.88966244e-01
7.20000000e-01    2.79053480e-01
7.30000000e-01    2.69133251e-01
7.40000000e-01    2.59206266e-01
7.50000000e-01    2.49273169e-01
7.60000000e-01    2.39334541e-01
7.70000000e-01    2.29390908e-01
7.80000000e-01    2.19442747e-01
7.90000000e-01    2.09490489e-01
8.00000000e-01    1.99534523e-01
8.10000000e-01    1.89575203e-01
8.20000000e-01    1.79612847e-01
8.30000000e-01    1.69647745e-01
8.40000000e-01    1.59680157e-01
8.50000000e-01    1.49710321e-01
8.60000000e-01    1.39738451e-01
8.70000000e-01    1.29764739e-01
8.80000000e-01    1.19789361e-01
8.90000000e-01    1.09812476e-01
9.00000000e-01    9.98342272e-02
9.10000000e-01    8.98547442e-02
9.20000000e-01    7.98741446e-02
9.30000000e-01    6.98925345e-02
9.40000000e-01    5.99100102e-02
9.50000000e-01    4.99266587e-02
9.60000000e-01    3.99425586e-02
9.70000000e-01    2.99577813e-02
9.80000000e-01    1.99723911e-02
9.90000000e-01    9.98644644e-03
1.00000000e+00    0.00000000e+00
